name,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated
A Barros,namsor_api_2.0.30,LATIN,79f9ea99-2169-447d-aef9-b9571d1da12f,A Barros,male,-0.05791915,0.405004807,0.528959575
A Bassalat,namsor_api_2.0.30,LATIN,df091f25-872c-4196-ad7e-60aaf536d8fd,A Bassalat,male,-0.062483054,0.606576796,0.531241527
A Bassi,namsor_api_2.0.30,LATIN,017ac7a0-1896-4017-a2ae-1f7be65d296a,A Bassi,male,-0.057013544,0.36607342,0.528506772
A Bassily-Marcus,namsor_api_2.0.30,LATIN,bdc2fa5d-2f8b-421e-ae22-6c0ad4a96e43,A Bassily-Marcus,male,-0.053860643,0.232457562,0.526930322
A Bassily-Marcus,namsor_api_2.0.30,LATIN,291cc579-df2f-49c2-bfdd-e25eae183e0a,A Bassily-Marcus,male,-0.053860643,0.232457562,0.526930322
A Bassily-Marcus,namsor_api_2.0.30,LATIN,39572d34-15d5-459f-a58e-af910879f676,A Bassily-Marcus,male,-0.053860643,0.232457562,0.526930322
A Bayramian,namsor_api_2.0.30,LATIN,cdabb720-f30b-4fbd-9f9d-d8d25a67fd9e,A Bayramian,male,-0.055091181,0.284296389,0.52754559
A Beaton,namsor_api_2.0.30,LATIN,df4787e1-d2c4-4f51-a34e-256395e8c09e,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beaton,namsor_api_2.0.30,LATIN,45abf486-d90f-4e9c-aeb3-0c7998cbd904,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beaton,namsor_api_2.0.30,LATIN,4446d2f7-5461-4d48-b172-88306cddea68,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beaton,namsor_api_2.0.30,LATIN,639deab0-fea6-49de-b79e-5c24414549c8,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beaton,namsor_api_2.0.30,LATIN,fc8d0738-b227-4338-b0ee-4d3124cc6c24,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beaton,namsor_api_2.0.30,LATIN,c9f4728f-65b7-4fc8-9e28-e01c7353ec90,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beaton,namsor_api_2.0.30,LATIN,534845e3-cd14-4ad5-96d2-54fa0e67820c,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beaton,namsor_api_2.0.30,LATIN,70b88b60-f7e5-4e86-bdee-fa3199eb1788,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beaton,namsor_api_2.0.30,LATIN,84d991fa-6554-46d3-962f-d0c501b2d32c,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beaton,namsor_api_2.0.30,LATIN,955a9ef9-b846-4bf0-88bf-a6aa604afdcb,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beaton,namsor_api_2.0.30,LATIN,2941d8cd-69fa-4147-abac-ffa948a8281a,A Beaton,male,-0.071732845,1.061425891,0.535866422
A Beck,namsor_api_2.0.30,LATIN,6121c324-ddb3-434a-8191-d1ae35657778,A Beck,male,-0.06637603,0.788366493,0.533188015
A Beck,namsor_api_2.0.30,LATIN,c540b796-f210-4cb4-a501-064eddfe7701,A Beck,male,-0.06637603,0.788366493,0.533188015
A Beck,namsor_api_2.0.30,LATIN,ed98726c-7abb-4fe8-8b94-ac774b2d58b5,A Beck,male,-0.06637603,0.788366493,0.533188015
A Beck,namsor_api_2.0.30,LATIN,06490a7f-3a79-47da-8515-0e7da5d58200,A Beck,male,-0.06637603,0.788366493,0.533188015
A Befus,namsor_api_2.0.30,LATIN,64d4cdda-0db4-40e9-9d49-b67234eaa919,A Befus,male,-0.063900786,0.67152024,0.531950393
A Behrend,namsor_api_2.0.30,LATIN,bd5f8dd6-905c-40c6-b56c-786fefd8034f,A Behrend,male,-0.061885696,0.579587455,0.530942848
A Bellar,namsor_api_2.0.30,LATIN,20bf3001-49bb-46b4-9d60-a0d62f55b807,A Bellar,female,0.06101344,0.540540759,0.53050672
A Beluze,namsor_api_2.0.30,LATIN,64d04fee-5575-46b4-ac05-8a0a2cd1a0be,A Beluze,male,-0.049783154,0.062508662,0.524891577
A Beluze,namsor_api_2.0.30,LATIN,5b278718-c4b9-4188-bc75-2ba13844d2dd,A Beluze,male,-0.049783154,0.062508662,0.524891577
A Beluze,namsor_api_2.0.30,LATIN,3ad790c5-a4d3-44e6-bd24-b0c5f386dbcc,A Beluze,male,-0.049783154,0.062508662,0.524891577
A Beluze,namsor_api_2.0.30,LATIN,9959250f-3983-44e6-b484-8c7361742111,A Beluze,male,-0.049783154,0.062508662,0.524891577
A Benetó,namsor_api_2.0.30,LATIN,c63a502d-0f2c-47d8-98f7-d3acd1b30d93,A Benetó,female,0.050774377,0.103646815,0.525387188
A Benıtez,namsor_api_2.0.30,LATIN,e44113fc-53bc-46e7-b60b-59cb634b7611,A Benıtez,male,-0.058954573,0.449892921,0.529477287
A Bernhard,namsor_api_2.0.30,LATIN,21591f9e-912f-42c8-9dd7-110e7d4736b0,A Bernhard,male,-0.066050758,0.772731697,0.533025379
A Bernhard,namsor_api_2.0.30,LATIN,400a2405-1dba-40af-9f41-b8d2b5a705e1,A Bernhard,male,-0.066050758,0.772731697,0.533025379
A Bernhard,namsor_api_2.0.30,LATIN,9af39986-0f94-49e7-ad09-7c695e349dc9,A Bernhard,male,-0.066050758,0.772731697,0.533025379
A Bernhard,namsor_api_2.0.30,LATIN,f27ff0f8-ca39-4053-8cd1-8f4ea9fcf1a6,A Bernhard,male,-0.066050758,0.772731697,0.533025379
A Besson,namsor_api_2.0.30,LATIN,785eebf8-21e1-4b02-a958-12592247ea3c,A Besson,male,-0.052299183,0.167113813,0.526149591
A Beuchée,namsor_api_2.0.30,LATIN,e371140e-f3dc-4e0d-88e8-d447f13137c3,A Beuchée,female,0.05529568,0.292946374,0.52764784
A Bhardwaj,namsor_api_2.0.30,LATIN,514587df-6528-4d48-b28f-81727f4c609b,A Bhardwaj,male,-0.074034955,1.15355296,0.537017477
A Bhardwaj,namsor_api_2.0.30,LATIN,bc3b70ab-173a-4d53-994c-1983295949b1,A Bhardwaj,male,-0.074034955,1.15355296,0.537017477
A Biagioni,namsor_api_2.0.30,LATIN,65cbce7b-1c60-4b3b-8275-6251ec6a18be,A Biagioni,female,0.052710433,0.184283624,0.526355217
A Bihorac,namsor_api_2.0.30,LATIN,24116658-a780-485b-bda7-dddaa0a61e83,A Bihorac,male,-0.065048598,0.725112328,0.532524299
A Bohn,namsor_api_2.0.30,LATIN,6751c3b1-7c71-44c6-a430-ddf7c3a4c42b,A Bohn,male,-0.052970301,0.195146999,0.526485151
A Bonatto,namsor_api_2.0.30,LATIN,aca47bca-e6f1-417e-a16b-f2c1f60306f5,A Bonatto,male,-0.054645582,0.265484389,0.527322791
A Botero,namsor_api_2.0.30,LATIN,2230fb23-1e04-4c97-869f-80c19e39223e,A Botero,female,0.050276685,0.082982609,0.525138342
A Boustany,namsor_api_2.0.30,LATIN,9e6db7b0-1c83-4eeb-b388-e2ecf990880c,A Boustany,male,-0.05280837,0.188376403,0.526404185
A Bufe,namsor_api_2.0.30,LATIN,00fce2c6-ac42-45ce-ad05-94aac7991c4d,A Bufe,female,0.066293164,0.784374757,0.533146582
A Bufe,namsor_api_2.0.30,LATIN,ad83c74f-8ed5-48d3-92e0-8db3370bf5eb,A Bufe,female,0.066293164,0.784374757,0.533146582
A Buki,namsor_api_2.0.30,LATIN,f958c6a5-c775-48df-b0a4-a5a03ac4a328,A Buki,male,-0.058722309,0.439786392,0.529361154
A Butala,namsor_api_2.0.30,LATIN,eaaa2039-4b28-45b2-be8c-7e8b2f5fbaa1,A Butala,female,0.052503697,0.175649133,0.526251849
A Butala,namsor_api_2.0.30,LATIN,cab13758-a664-46e9-a35e-73887fd1b46d,A Butala,female,0.052503697,0.175649133,0.526251849
A Caamano-Fern,namsor_api_2.0.30,LATIN,0dd133e9-9f25-4bb6-b11b-9e62ef73c402,A Caamano-Fern,female,0.052033473,0.156033564,0.526016736
